id,speaker,text,next,choices,note,tag
geum1_01,주인공,너는 누구지?,geum1_02,,"원문 '#금보스 조우'(1) 전체가 취소선이고 '@@@ 수정 금보스 조우 2 버전으로 부탁.' 이므로 이 파일의 옛 조우 1 대본을 버리고 조우 2 대본을 넣었다. Boss_Gold.unity 의 introDialogueFile/victoryDialogueFile 이 이 파일(S08_BOSS_GEUM_1)을 가리키고 있어 씬을 고치지 않고 내용만 교체했다.",
geum1_02,금보스,나는 죽음이다. 네가 너를 네 손으로 끝내기 전에 내가 단념하게 해주지.,geum1_03,,,
geum1_03,주인공,나는 너한테 죽고싶지 않은데.,geum1_04,,,
geum1_04,금보스,너는 죽음으로부터 도피하고 있을 뿐. 죽음은 존재에게 두려운 것이지만 그걸 회피하는 것은 불안과 도피전략에 불과하다.,geum1_05,,,
geum1_05,주인공,"나는 스스로 납득하고, 스스로 자신의 자아의 죽음을 인식하기 위한 여정 위에 있다. 내가 나의 죽음을 스스로 불러오겠다는데 이게 왜 도피이지?",geum1_06,,,
geum1_06,금보스,죽음은 그런식으로 오지 않는다.,geum1_07,,,
geum1_07,주인공,죽음이 오는 방식? 세상에 그런게 정해져 있나?,geum1_08,,,
geum1_08,금보스,너는 결국 나를 쓰러트리고 그 여정의 끝에 다다르겠지. 하지만 그렇다고 달라지는 게 있을까?,geum1_09,,,
geum1_09,주인공,…,,,"도입 대사의 마지막 행. next 가 비어 있어 대화가 끝나고 전투가 시작된다.",
geum1_win,주인공,(그의 힘을 받아들일 것인가),,힘을 받아들인다:geum1_win_geuk/거절한다:geum1_win_saeng,"원문에 없는 분기 진입 행. 극(剋)/생(生) 두 갈래 승리가 게임 시스템이라 이 선택지가 없으면 생 경로로 진행할 수 없다. 씬의 victoryStartId=geum1_win 이 이 id 를 가리키므로 id 를 바꾸지 않았다.",추가함
geum1_win_geuk,금보스,자 가던 길 마저 가라구.,geum1_skill,,"극(剋) 승리 — 원문 그대로.",
geum1_skill,시스템,금보스 스킬 획득,,,"원문 '금보스 스킬 획득' 을 그대로 옮겼다. 보스마다 원문 표기가 달라 임의로 통일하지 않았다.",
geum1_win_saeng,금보스,끝내 받지 않는군. 죽음을 빌리지 않고 죽겠다는 건가.,geum1_win_saeng_02,,"생(生) 승리 대사. 원문 말미 'Cf) 생하면 얻는 대사는 추가예정' 에 해당한다.",추가함
geum1_win_saeng_02,금보스,고집이군. 하지만 그 고집이 네가 아직 있다는 유일한 증거겠지.,geum1_coin,,"생(生) 승리 대사. 추가예정 구간.",추가함
geum1_coin,시스템,의지 코인 5개를 얻었다,,,"원문 '토, 수, 화, 금 각 보스들을 생하면 의지 코인 5개씩 추가'. id 가 _coin 으로 끝나면 BossRoom 이 코인을 지급한다.",추가함
