id,speaker,text,next,choices,note,tag
su_01,주인공,너는 누구지?,su_02,,,
su_02,수보스,"이 세계는 곧 너의 이해.. 이해는 축적되고 있다.. 내가 누구인지, 그건 중요하지 않다.. 단지 나는 너의 인식에 저항했기 때문에 지금 여기에 있다..",su_03,,,
su_03,주인공,인식에 저항했다는게 무슨 의미지?,su_04,,,
su_04,수보스,나는 너에 있어 타자였던 존재.. 네가 인식한 타자의 한 국면.. 불완전한 인식의 잔여물이다.. 너는 나를 인식해 내게 저항하려고 했었지.. 그러나 인식은 저항을 낳는다.. 나는 결코 너의 인식에 완전히 포섭될 수 없지..,su_05,,,
su_05,주인공,"그럼 내가 여기서 너를 물리치면, 너에 대한 완전한 인식에 이르나?",su_06,,,
su_06,수보스,…,,,"도입 대사의 마지막 행. next 가 비어 있어 대화가 끝나고 전투가 시작된다.",
su_win,주인공,(그의 힘을 받아들일 것인가),,힘을 받아들인다:su_win_geuk/거절한다:su_win_saeng,"원문에 없는 분기 진입 행. 극(剋)/생(生) 두 갈래 승리가 게임 시스템이라 이 선택지가 없으면 생 경로로 진행할 수 없다. 씬의 victoryStartId=su_win 이 이 id 를 가리킨다.",추가함
su_win_geuk,수보스,… 아무래도 좋은 모양이군.,su_skill,,"극(剋) 승리 — 원문 그대로.",
su_skill,시스템,수보스 스킬 획득..,,,"원문 '메시지창: 수보스 스킬 획득..' 을 그대로 옮겼다. 보스마다 원문 표기가 달라 임의로 통일하지 않았다.",
su_win_saeng,수보스,거절인가.. 그렇다면 나는 끝내 포섭되지 않은 채로 남는다..,su_coin,,"생(生) 승리 대사. 원문 말미 'Cf) 생하면 얻는 대사는 추가예정' 에 해당한다.",추가함
su_coin,수보스,인식되지 않은 것만이 남아서.. 너를 떠받친다..,,,"생(生) 승리의 마지막 대사이자 코인 지급 행. 의지 코인은 시스템 내부 용어라 유저에게 노출하지 않는다(2026-08-31) — 안내 문구 행을 삭제하고 이 행의 id 를 _coin 으로 바꿔 BossRoom.IsCoinGrantEntry 의 지급 트리거만 유지했다.",추가함
